SampleID	Filename	Group	BioRepeat	TechRepeat	Location
U1.A.1	Abakumov-SEQ126-37	U1	A	1	Quarry Clay
U1.A.2	Abakumov-SEQ126-38	U1	A	2	Quarry Clay
U1.A.3	Abakumov-SEQ126-39	U1	A	3	Quarry Clay
U1.A.4	Abakumov-SEQ126-40	U1	A	4	Quarry Clay
U1.B.1	Abakumov-SEQ126-41	U1	B	1	Quarry Clay
U1.B.2	Abakumov-SEQ126-42	U1	B	2	Quarry Clay
U1.B.3	Abakumov-SEQ126-43	U1	B	3	Quarry Clay
U1.B.4	Abakumov-SEQ126-44	U1	B	4	Quarry Clay
U1.C.1	Abakumov-SEQ126-45	U1	C	1	Quarry Clay
U1.C.2	Abakumov-SEQ126-46	U1	C	2	Quarry Clay
U1.C.3	Abakumov-SEQ126-47	U1	C	3	Quarry Clay
U1.C.4	Abakumov-SEQ126-48	U1	C	4	Quarry Clay
U2.A.1	Abakumov-SEQ126-49	U2	A	1	Forest Global
U2.A.2	Abakumov-SEQ126-50	U2	A	2	Forest Global
U2.A.3	Abakumov-SEQ126-51	U2	A	3	Forest Global
U2.A.4	Abakumov-SEQ126-52	U2	A	4	Forest Global
U2.B.1	Abakumov-SEQ126-53	U2	B	1	Forest Global
U2.B.2	Abakumov-SEQ126-54	U2	B	2	Forest Global
U2.B.3	Abakumov-SEQ126-55	U2	B	3	Forest Global
U2.B.4	Abakumov-SEQ126-56	U2	B	4	Forest Global
U2.C.1	Abakumov-SEQ126-57	U2	C	1	Forest Global
U2.C.2	Abakumov-SEQ126-58	U2	C	2	Forest Global
U2.C.3	Abakumov-SEQ126-59	U2	C	3	Forest Global
U2.C.4	Abakumov-SEQ126-60	U2	C	4	Forest Global
U3.A.1	Abakumov-SEQ126-61	U3	A	1	Quarry Limestone
U3.A.2	Abakumov-SEQ126-62	U3	A	2	Quarry Limestone
U3.A.3	Abakumov-SEQ126-63	U3	A	3	Quarry Limestone
U3.A.4	Abakumov-SEQ126-64	U3	A	4	Quarry Limestone
U3.B.1	Abakumov-SEQ126-65	U3	B	1	Quarry Limestone
U3.B.2	Abakumov-SEQ126-66	U3	B	2	Quarry Limestone
U3.B.3	Abakumov-SEQ126-67	U3	B	3	Quarry Limestone
U3.B.4	Abakumov-SEQ126-68	U3	B	4	Quarry Limestone
U3.C.1	Abakumov-SEQ126-69	U3	C	1	Quarry Limestone
U3.C.2	Abakumov-SEQ126-70	U3	C	2	Quarry Limestone
U3.C.3	Abakumov-SEQ126-71	U3	C	3	Quarry Limestone
U3.C.4	Abakumov-SEQ126-72	U3	C	4	Quarry Limestone
